--------- beginning of main
03-21 02:45:27.194 30261 30386 I sharp_executorch_full: CPU inference: OMP_NUM_THREADS=8 (processors online=8)
--------- beginning of system
03-21 02:45:28.238  1581  1665 I ActivityManager: Start proc 30390:com.google.android.documentsui/u0a94 for next-top-activity {com.google.android.documentsui/com.android.documentsui.picker.TrampolineActivity}
03-21 02:46:08.576 30261 30386 I sharp_executorch_full:   Part4a512=/data/user/0/com.furnit.android/files/models_vulkan/sharp_split_part4a_chunk_512_vulkan.pte
03-21 02:46:08.576 30261 30386 I sharp_executorch_full:   Part4a65=/data/user/0/com.furnit.android/files/models_vulkan/sharp_split_part4a_chunk_65_vulkan.pte
03-21 02:46:08.576 30261 30386 I sharp_executorch_full:   Part4b_single=/data/user/0/com.furnit.android/files/models_vulkan/sharp_split_part4b_vulkan.pte
03-21 02:46:08.576 30261 30386 D sharp_executorch_full: [MEM] combinedTokens planned ~2MB image=1536x1536
03-21 02:46:08.576 30261 30386 D sharp_executorch_full: [MEM] before Part3 load rss=886MB hwm=890MB vmsize=18433MB avail=3423MB workspace_est=149MB
03-21 02:46:09.527  1581  4425 I ActivityManager: Process com.google.android.apps.aiwallpapers (pid 28751) has died: cch  +85 CEM 
03-21 02:46:09.534  1581  4425 I ActivityManager: Process com.google.android.apps.wallpaper (pid 28624) has died: cch  +85 CEM 
03-21 02:46:09.541  1581  3092 W ActivityManager: pid 29412 com.google.android.apps.photos sent binder code 2 with flags 1 and got error -32
03-21 02:46:09.543  1581  3819 I ActivityManager: Process com.google.android.cellbroadcastreceiver (pid 28390) has died: cch  +75 CEM 
03-21 02:46:09.622  1581  4425 I ActivityManager: Process com.google.android.apps.emojiwallpaper (pid 29022) has died: cch  +75 CEM 
03-21 02:46:09.635  1581  4425 I ActivityManager: Process com.google.android.apps.pixel.customizationbundle (pid 29200) has died: cch  +75 CEM 
03-21 02:46:09.697  1581  4425 I ActivityManager: Process com.google.android.as:captions (pid 29277) has died: cch  +65 CEM 
03-21 02:46:09.729  1581  4425 I ActivityManager: Process com.google.pixel.livewallpaper (pid 29473) has died: cch  +65 CEM 
03-21 02:46:09.800  1581  1609 I ActivityManager: Process com.google.android.apps.googleassistant:remote (pid 29441) has died: cch  +65 CEM 
03-21 02:46:09.827  1581  1609 I ActivityManager: Process .ShannonImsService (pid 29559) has died: cch  +55 CEM 
03-21 02:46:10.189  1581  1609 I ActivityManager: Process android.process.acore (pid 28597) has died: cch  +55 CEM 
03-21 02:46:10.267  1581  1609 I ActivityManager: Process com.google.android.carrier (pid 30042) has died: cch  +45 CEM 
03-21 02:46:10.328  1581  3179 I ActivityManager: Process com.google.android.aicore (pid 29746) has died: cch  +45 CEM 
03-21 02:46:10.331  1581  4591 I ActivityManager: Process com.google.android.tts (pid 29961) has died: cch  +55 CEM 
03-21 02:46:10.366  1581  2397 I ActivityManager: Process com.google.android.apps.privacy.wildlife (pid 29477) has died: cch  +45 CEM 
03-21 02:46:10.370  1581  2397 D ActivityManager: sync unfroze 28913 com.google.android.gms for 33
03-21 02:46:10.456  1581  2397 I ActivityManager: Process com.google.android.apps.wellbeing (pid 28673) has died: cch  +35 CEM 
03-21 02:46:10.462  1581  3092 I ActivityManager: Process com.android.keychain (pid 30194) has died: cch  +35 CEM 
